d9f24cd1 full: 0 surviving, competitive false, recoverable false
fcc82909 full: 0 surviving, competitive false, recoverable false
d13f3404 two-pair: 0 surviving, competitive false, recoverable false
8eb1be9a full: 0 surviving, competitive false, recoverable false
3618c87e full: 0 surviving, competitive false, recoverable false
6ecd11f4 two-pair: 0 surviving, competitive false, recoverable false
3618c87e two-pair: 0 surviving, competitive false, recoverable false
d06dbe63 full: 0 surviving, competitive false, recoverable false
1caeab9d full: 0 surviving, competitive false, recoverable false
5521c0d9 full: 0 surviving, competitive false, recoverable false
d06dbe63 two-pair: 0 surviving, competitive false, recoverable false
1caeab9d two-pair: 0 surviving, competitive false, recoverable false
3906de3d full: 0 surviving, competitive false, recoverable false
447fd412 full: 0 surviving, competitive false, recoverable false
e9afcf9a full: 0 surviving, competitive false, recoverable false
3906de3d two-pair: 0 surviving, competitive false, recoverable false
447fd412 two-pair: 0 surviving, competitive false, recoverable false
e9afcf9a two-pair: 0 surviving, competitive false, recoverable false
8eb1be9a two-pair: 0 surviving, competitive false, recoverable false
eb5a1d5d full: 1 surviving, competitive false, recoverable false
5521c0d9 two-pair: 0 surviving, competitive false, recoverable false
a5f85a15 full: 0 surviving, competitive false, recoverable false
a5f85a15 two-pair: 0 surviving, competitive false, recoverable false
f1cefba8 full: 0 surviving, competitive false, recoverable false
fcc82909 two-pair: 0 surviving, competitive false, recoverable false
ecdecbb3 full: 0 surviving, competitive false, recoverable false
f2829549 full: 1 surviving, competitive false, recoverable false
ecdecbb3 two-pair: 0 surviving, competitive false, recoverable false
56ff96f3 full: 0 surviving, competitive false, recoverable false
f1cefba8 two-pair: 0 surviving, competitive false, recoverable false
f2829549 two-pair: 1 surviving, competitive false, recoverable false
ae3edfdc full: 0 surviving, competitive false, recoverable false
eb5a1d5d two-pair: 1 surviving, competitive false, recoverable false
8be77c9e full: 1 surviving, competitive false, recoverable false
239be575 full: 0 surviving, competitive false, recoverable false
8be77c9e two-pair: 1 surviving, competitive false, recoverable false
239be575 two-pair: 0 surviving, competitive false, recoverable false
445eab21 full: 0 surviving, competitive false, recoverable false
ae3edfdc two-pair: 0 surviving, competitive false, recoverable false
4938f0c2 full: 0 surviving, competitive false, recoverable false
56ff96f3 two-pair: 0 surviving, competitive false, recoverable false
97999447 full: 0 surviving, competitive false, recoverable false
321b1fc6 full: 0 surviving, competitive false, recoverable false
4938f0c2 two-pair: 0 surviving, competitive false, recoverable false
e5062a87 full: 0 surviving, competitive false, recoverable false
445eab21 two-pair: 0 surviving, competitive false, recoverable false
97999447 two-pair: 0 surviving, competitive false, recoverable false
e5062a87 two-pair: 0 surviving, competitive false, recoverable false
0962bcdd full: 0 surviving, competitive false, recoverable false
9aec4887 full: 0 surviving, competitive false, recoverable false
29ec7d0e full: 0 surviving, competitive false, recoverable false
50cb2852 full: 0 surviving, competitive false, recoverable false
321b1fc6 two-pair: 0 surviving, competitive false, recoverable false
00d62c1b full: 1 surviving, competitive false, recoverable false
00d62c1b two-pair: 1 surviving, competitive false, recoverable false
543a7ed5 full: 0 surviving, competitive false, recoverable false
0962bcdd two-pair: 0 surviving, competitive false, recoverable false
264363fd full: 0 surviving, competitive false, recoverable false
776ffc46 full: 0 surviving, competitive false, recoverable false
543a7ed5 two-pair: 0 surviving, competitive false, recoverable false
56dc2b01 full: 0 surviving, competitive false, recoverable false
50cb2852 two-pair: 0 surviving, competitive false, recoverable false
c909285e full: 0 surviving, competitive false, recoverable false
56dc2b01 two-pair: 0 surviving, competitive false, recoverable false
5614dbcf full: 0 surviving, competitive false, recoverable false
49d1d64f full: 0 surviving, competitive false, recoverable false
3eda0437 full: 0 surviving, competitive false, recoverable false
49d1d64f two-pair: 0 surviving, competitive false, recoverable false
9aec4887 two-pair: 0 surviving, competitive false, recoverable false
f76d97a5 full: 0 surviving, competitive false, recoverable false
776ffc46 two-pair: 0 surviving, competitive false, recoverable false
3eda0437 two-pair: 0 surviving, competitive false, recoverable false
f76d97a5 two-pair: 0 surviving, competitive false, recoverable false
29ec7d0e two-pair: 0 surviving, competitive false, recoverable false
5614dbcf two-pair: 0 surviving, competitive false, recoverable false
a2fd1cf0 full: 0 surviving, competitive false, recoverable false
e179c5f4 full: 0 surviving, competitive false, recoverable false
e179c5f4 two-pair: 0 surviving, competitive false, recoverable false
aabf363d full: 0 surviving, competitive false, recoverable false
bda2d7a6 full: 0 surviving, competitive false, recoverable false
a9f96cdd full: 0 surviving, competitive false, recoverable false
db93a21d full: 0 surviving, competitive false, recoverable false
aabf363d two-pair: 0 surviving, competitive false, recoverable false
a2fd1cf0 two-pair: 0 surviving, competitive false, recoverable false
bda2d7a6 two-pair: 0 surviving, competitive false, recoverable false
a9f96cdd two-pair: 0 surviving, competitive false, recoverable false
4612dd53 full: 0 surviving, competitive false, recoverable false
db93a21d two-pair: 0 surviving, competitive false, recoverable false
963e52fc full: 0 surviving, competitive false, recoverable false
4612dd53 two-pair: 0 surviving, competitive false, recoverable false
963e52fc two-pair: 0 surviving, competitive false, recoverable false
137eaa0f full: 0 surviving, competitive false, recoverable false
d511f180 full: 0 surviving, competitive false, recoverable false
05f2a901 full: 0 surviving, competitive false, recoverable false
c909285e two-pair: 0 surviving, competitive false, recoverable false
a61ba2ce full: 0 surviving, competitive false, recoverable false
05f2a901 two-pair: 0 surviving, competitive false, recoverable false
d511f180 two-pair: 0 surviving, competitive false, recoverable false
264363fd two-pair: 0 surviving, competitive false, recoverable false
74dd1130 full: 1 surviving, competitive false, recoverable false
e21d9049 full: 0 surviving, competitive false, recoverable false
74dd1130 two-pair: 1 surviving, competitive false, recoverable false
1f85a75f full: 9 surviving, competitive true, recoverable false
bdad9b1f full: 0 surviving, competitive false, recoverable false
6aa20dc0 full: 0 surviving, competitive false, recoverable false
a61ba2ce two-pair: 0 surviving, competitive false, recoverable false
bdad9b1f two-pair: 0 surviving, competitive false, recoverable false
bc1d5164 full: 0 surviving, competitive false, recoverable false
75b8110e full: 0 surviving, competitive false, recoverable false
bc1d5164 two-pair: 0 surviving, competitive false, recoverable false
e21d9049 two-pair: 0 surviving, competitive false, recoverable false
a740d043 full: 1 surviving, competitive false, recoverable false
75b8110e two-pair: 0 surviving, competitive false, recoverable false
8a004b2b full: 0 surviving, competitive false, recoverable false
a740d043 two-pair: 1 surviving, competitive false, recoverable false
3bd67248 full: 0 surviving, competitive false, recoverable false
760b3cac full: 0 surviving, competitive false, recoverable false
137eaa0f two-pair: 0 surviving, competitive false, recoverable false
23581191 full: 0 surviving, competitive false, recoverable false
6aa20dc0 two-pair: 0 surviving, competitive false, recoverable false
760b3cac two-pair: 0 surviving, competitive false, recoverable false
d4f3cd78 full: 0 surviving, competitive false, recoverable false
23581191 two-pair: 0 surviving, competitive false, recoverable false
d4f3cd78 two-pair: 0 surviving, competitive false, recoverable false
9af7a82c full: 0 surviving, competitive false, recoverable false
9af7a82c two-pair: 0 surviving, competitive false, recoverable false
1b2d62fb full: 1 surviving, competitive false, recoverable false
1b2d62fb two-pair: 1 surviving, competitive false, recoverable false
8a004b2b two-pair: 0 surviving, competitive false, recoverable false
90c28cc7 full: 0 surviving, competitive false, recoverable false
b527c5c6 full: 0 surviving, competitive false, recoverable false
b527c5c6 two-pair: 0 surviving, competitive false, recoverable false
3bd67248 two-pair: 0 surviving, competitive false, recoverable false
7c008303 full: 0 surviving, competitive false, recoverable false
9d9215db full: 0 surviving, competitive false, recoverable false
7c008303 two-pair: 0 surviving, competitive false, recoverable false
dc0a314f full: 0 surviving, competitive false, recoverable false
feca6190 full: 0 surviving, competitive false, recoverable false
ddf7fa4f full: 0 surviving, competitive false, recoverable false
feca6190 two-pair: 0 surviving, competitive false, recoverable false
1f85a75f two-pair: 9 surviving, competitive true, recoverable false
e509e548 full: 0 surviving, competitive false, recoverable false
90c28cc7 two-pair: 0 surviving, competitive false, recoverable false
913fb3ed full: 0 surviving, competitive false, recoverable false
9d9215db two-pair: 0 surviving, competitive false, recoverable false
6c434453 full: 0 surviving, competitive false, recoverable false
6c434453 two-pair: 0 surviving, competitive false, recoverable false
6773b310 full: 0 surviving, competitive false, recoverable false
e509e548 two-pair: 0 surviving, competitive false, recoverable false
6773b310 two-pair: 0 surviving, competitive false, recoverable false
ddf7fa4f two-pair: 0 surviving, competitive false, recoverable false
dc0a314f two-pair: 0 surviving, competitive false, recoverable false
6d0160f0 full: 0 surviving, competitive false, recoverable false
54d9e175 full: 0 surviving, competitive false, recoverable false
913fb3ed two-pair: 0 surviving, competitive false, recoverable false
6a1e5592 full: 0 surviving, competitive false, recoverable false
54d9e175 two-pair: 0 surviving, competitive false, recoverable false
6a1e5592 two-pair: 0 surviving, competitive false, recoverable false
ec883f72 full: 0 surviving, competitive false, recoverable false
ec883f72 two-pair: 0 surviving, competitive false, recoverable false
8731374e full: 0 surviving, competitive false, recoverable false
6d0160f0 two-pair: 0 surviving, competitive false, recoverable false
7e0986d6 full: 0 surviving, competitive false, recoverable false
1f0c79e5 full: 0 surviving, competitive false, recoverable false
a8c38be5 full: 0 surviving, competitive false, recoverable false
c3f564a4 full: 0 surviving, competitive false, recoverable false
d89b689b full: 0 surviving, competitive false, recoverable false
7e0986d6 two-pair: 0 surviving, competitive false, recoverable false
1f0c79e5 two-pair: 0 surviving, competitive false, recoverable false
c3f564a4 two-pair: 0 surviving, competitive false, recoverable false
0b148d64 full: 0 surviving, competitive false, recoverable false
d89b689b two-pair: 0 surviving, competitive false, recoverable false
5117e062 full: 0 surviving, competitive false, recoverable false
40853293 full: 0 surviving, competitive false, recoverable false
80af3007 full: 0 surviving, competitive false, recoverable false
80af3007 two-pair: 0 surviving, competitive false, recoverable false
4522001f full: 0 surviving, competitive false, recoverable false
4522001f two-pair: 0 surviving, competitive false, recoverable false
8731374e two-pair: 0 surviving, competitive false, recoverable false
23b5c85d full: 4 surviving, competitive false, recoverable false
0b148d64 two-pair: 4 surviving, competitive false, recoverable false
e6721834 full: 0 surviving, competitive false, recoverable false
746b3537 full: 1 surviving, competitive false, recoverable false
a8c38be5 two-pair: 0 surviving, competitive false, recoverable false
746b3537 two-pair: 1 surviving, competitive false, recoverable false
5117e062 two-pair: 0 surviving, competitive false, recoverable false
29c11459 full: 0 surviving, competitive false, recoverable false
23b5c85d two-pair: 5 surviving, competitive true, recoverable true
681b3aeb full: 0 surviving, competitive false, recoverable false
73251a56 full: 0 surviving, competitive false, recoverable false
29c11459 two-pair: 0 surviving, competitive false, recoverable false
93b581b8 full: 0 surviving, competitive false, recoverable false
6455b5f5 full: 0 surviving, competitive false, recoverable false
c59eb873 full: 1 surviving, competitive false, recoverable false
11852cab full: 0 surviving, competitive false, recoverable false
681b3aeb two-pair: 0 surviving, competitive false, recoverable false
c59eb873 two-pair: 1 surviving, competitive false, recoverable false
9f236235 full: 0 surviving, competitive false, recoverable false
6455b5f5 two-pair: 0 surviving, competitive false, recoverable false
e6721834 two-pair: 0 surviving, competitive false, recoverable false
db3e9e38 full: 0 surviving, competitive false, recoverable false
db3e9e38 two-pair: 0 surviving, competitive false, recoverable false
f25ffba3 full: 1 surviving, competitive false, recoverable false
93b581b8 two-pair: 0 surviving, competitive false, recoverable false
11852cab two-pair: 0 surviving, competitive false, recoverable false
3631a71a full: 0 surviving, competitive false, recoverable false
47c1f68c full: 0 surviving, competitive false, recoverable false
9f236235 two-pair: 0 surviving, competitive false, recoverable false
f25ffba3 two-pair: 1 surviving, competitive false, recoverable false
a699fb00 full: 0 surviving, competitive false, recoverable false
d8c310e9 full: 0 surviving, competitive false, recoverable false
a699fb00 two-pair: 0 surviving, competitive false, recoverable false
234bbc79 full: 0 surviving, competitive false, recoverable false
363442ee full: 0 surviving, competitive false, recoverable false
673ef223 full: 0 surviving, competitive false, recoverable false
234bbc79 two-pair: 0 surviving, competitive false, recoverable false
47c1f68c two-pair: 0 surviving, competitive false, recoverable false
83302e8f full: 0 surviving, competitive false, recoverable false
d8c310e9 two-pair: 0 surviving, competitive false, recoverable false
673ef223 two-pair: 0 surviving, competitive false, recoverable false
73251a56 two-pair: 0 surviving, competitive false, recoverable false
cf98881b full: 0 surviving, competitive false, recoverable false
d22278a0 full: 0 surviving, competitive false, recoverable false
ae4f1146 full: 0 surviving, competitive false, recoverable false
d0f5fe59 full: 0 surviving, competitive false, recoverable false
68b16354 full: 4 surviving, competitive true, recoverable false
d0f5fe59 two-pair: 0 surviving, competitive false, recoverable false
68b16354 two-pair: 4 surviving, competitive true, recoverable false
ae4f1146 two-pair: 1 surviving, competitive false, recoverable false
cf98881b two-pair: 0 surviving, competitive false, recoverable false
36d67576 full: 0 surviving, competitive false, recoverable false
539a4f51 full: 0 surviving, competitive false, recoverable false
d22278a0 two-pair: 0 surviving, competitive false, recoverable false
539a4f51 two-pair: 0 surviving, competitive false, recoverable false
22233c11 full: 0 surviving, competitive false, recoverable false
363442ee two-pair: 0 surviving, competitive false, recoverable false
28e73c20 full: 0 surviving, competitive false, recoverable false
22233c11 two-pair: 0 surviving, competitive false, recoverable false
28e73c20 two-pair: 0 surviving, competitive false, recoverable false
36d67576 two-pair: 0 surviving, competitive false, recoverable false
62c24649 full: 1 surviving, competitive false, recoverable false
62c24649 two-pair: 1 surviving, competitive false, recoverable false
2dee498d full: 0 surviving, competitive false, recoverable false
e48d4e1a full: 0 surviving, competitive false, recoverable false
2dee498d two-pair: 0 surviving, competitive false, recoverable false
46f33fce full: 0 surviving, competitive false, recoverable false
05269061 full: 0 surviving, competitive false, recoverable false
40853293 two-pair: 0 surviving, competitive false, recoverable false
83302e8f two-pair: 0 surviving, competitive false, recoverable false
e48d4e1a two-pair: 0 surviving, competitive false, recoverable false
05269061 two-pair: 0 surviving, competitive false, recoverable false
46f33fce two-pair: 0 surviving, competitive false, recoverable false
67a3c6ac full: 3 surviving, competitive false, recoverable false
a5313dff full: 1 surviving, competitive false, recoverable false
67a3c6ac two-pair: 3 surviving, competitive false, recoverable false
a5313dff two-pair: 1 surviving, competitive false, recoverable false
dc1df850 full: 0 surviving, competitive false, recoverable false
9edfc990 full: 0 surviving, competitive false, recoverable false
25d487eb full: 0 surviving, competitive false, recoverable false
3e980e27 full: 0 surviving, competitive false, recoverable false
4290ef0e full: 0 surviving, competitive false, recoverable false
7ddcd7ec full: 0 surviving, competitive false, recoverable false
c8f0f002 full: 3 surviving, competitive false, recoverable false
c8f0f002 two-pair: 3 surviving, competitive false, recoverable false
1bfc4729 full: 0 surviving, competitive false, recoverable false
7ddcd7ec two-pair: 0 surviving, competitive false, recoverable false
dc1df850 two-pair: 0 surviving, competitive false, recoverable false
25d487eb two-pair: 0 surviving, competitive false, recoverable false
4290ef0e two-pair: 0 surviving, competitive false, recoverable false
3e980e27 two-pair: 0 surviving, competitive false, recoverable false
694f12f3 full: 0 surviving, competitive false, recoverable false
508bd3b6 full: 0 surviving, competitive false, recoverable false
e9614598 full: 0 surviving, competitive false, recoverable false
ce4f8723 full: 1 surviving, competitive false, recoverable false
1f876c06 full: 0 surviving, competitive false, recoverable false
508bd3b6 two-pair: 0 surviving, competitive false, recoverable false
694f12f3 two-pair: 0 surviving, competitive false, recoverable false
e9614598 two-pair: 0 surviving, competitive false, recoverable false
ce4f8723 two-pair: 1 surviving, competitive false, recoverable false
1bfc4729 two-pair: 0 surviving, competitive false, recoverable false
1f876c06 two-pair: 0 surviving, competitive false, recoverable false
9edfc990 two-pair: 0 surviving, competitive false, recoverable false
e26a3af2 full: 0 surviving, competitive false, recoverable false
7b6016b9 full: 1 surviving, competitive false, recoverable false
e26a3af2 two-pair: 0 surviving, competitive false, recoverable false
3631a71a two-pair: 0 surviving, competitive false, recoverable false
ba97ae07 full: 0 surviving, competitive false, recoverable false
7b6016b9 two-pair: 1 surviving, competitive false, recoverable false
ba97ae07 two-pair: 0 surviving, competitive false, recoverable false
b775ac94 full: 0 surviving, competitive false, recoverable false
484b58aa full: 0 surviving, competitive false, recoverable false
6d58a25d full: 0 surviving, competitive false, recoverable false
6d58a25d two-pair: 0 surviving, competitive false, recoverable false
b775ac94 two-pair: 0 surviving, competitive false, recoverable false
484b58aa two-pair: 0 surviving, competitive false, recoverable false
        2.79 real        24.95 user         0.22 sys
            20086784  maximum resident set size
                   0  average shared memory size
                   0  average unshared data size
                   0  average unshared stack size
                1538  page reclaims
                   0  page faults
                   0  swaps
                   0  block input operations
                   0  block output operations
                   0  messages sent
                   0  messages received
                   0  signals received
                   0  voluntary context switches
               25782  involuntary context switches
        400830563039  instructions retired
         76246677207  cycles elapsed
            19333504  peak memory footprint
